name,description,rubrics,is_system_defined
"Delivering Results","Ability to plan, organise, and deliver results within allocated resources while following public service procedures.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Exceptional examples showing strategic planning, efficient resource utilization, and consistent delivery of high-quality results within deadlines."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Clear examples of planning, organising work, and delivering results; demonstrates good understanding of procedures and resource management."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Provides basic examples of delivering results; some understanding of planning and procedures but lacks depth."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Vague examples with limited evidence of planning; struggles to explain how results were achieved."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""Unable to describe any experience of delivering results; no understanding of planning or resource management."", ""percentage_range"": ""0-40%""}]",true
"Performance through People","Skill in building and maintaining positive relationships with colleagues, tenants, and external agencies while contributing to team effectiveness.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Outstanding relationship-building skills; proven track record of effective multi-agency collaboration and enhancing team performance."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Strong examples of building relationships with diverse groups; demonstrates effective collaboration and positive team contribution."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Basic examples of teamwork and stakeholder engagement; understands importance but examples lack impact."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Limited examples of collaboration; difficulty explaining how they work with different stakeholders."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No evidence of teamwork or relationship building; unable to provide examples of working with others."", ""percentage_range"": ""0-40%""}]",true
"Communicating Effectively","Ability to communicate clearly and sensitively with diverse individuals, including those in difficult circumstances, both verbally and in writing.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Exceptional communication skills; outstanding examples of navigating complex, sensitive situations with diverse individuals while maintaining clarity and empathy."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Clear, confident communicator with good examples of handling sensitive conversations; demonstrates empathy and professionalism."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Adequate communication examples; shows some ability to adapt approach but may lack confidence in difficult situations."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Basic communication skills but struggles with sensitive situations; limited examples of written communication."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""Unable to articulate ideas clearly; no evidence of adapting communication style to different audiences."", ""percentage_range"": ""0-40%""}]",true
"Personal Effectiveness","Demonstration of initiative, flexibility, and commitment to continuous professional development in a changing work environment.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Exceptional adaptability and self-motivation; proactive approach to professional development with clear evidence of initiative in challenging situations."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Strong examples of initiative and flexibility; demonstrates commitment to continuous learning and positive approach to change."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Some examples of adapting to change and taking initiative; basic understanding of professional development importance."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Limited examples of flexibility; minimal commitment to learning or development evident."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No evidence of initiative or adaptability; unable to discuss professional development or handling change."", ""percentage_range"": ""0-40%""}]",true
"Understanding Purpose and Change","Understanding of the role's purpose within the broader context of Dublin City Council's housing services and ability to contribute to service improvement.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Comprehensive understanding of housing support within public service context; innovative ideas for service improvement aligned with organisational goals."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Good understanding of role within DCC context; thoughtful ideas for service improvement and tenant support."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Basic understanding of role and housing context; some ideas for improvement but lacks strategic thinking."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Limited understanding of role purpose; vague ideas about housing services with no concrete improvement suggestions."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No understanding of the role or DCC's housing services; unable to discuss service improvement or organisational context."", ""percentage_range"": ""0-40%""}]",true
"Professional Knowledge & Personal Development","Demonstrates relevant professional knowledge, qualifications, and commitment to continuous learning in social work/social care practice.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Exceptional professional expertise; proactive learner who applies knowledge effectively and contributes to practice development."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Strong professional knowledge with clear examples of applying learning; demonstrates commitment to continuous development."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Adequate professional knowledge and qualifications; some commitment to development but lacks depth."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Basic qualifications but limited professional knowledge; minimal evidence of ongoing learning."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No relevant qualifications or knowledge; unable to discuss professional development or learning."", ""percentage_range"": ""0-40%""}]",true
"Being Accountable, Resilient & Making Decisions","Ability to take responsibility, maintain resilience under pressure, and make sound decisions in challenging child protection contexts.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Outstanding resilience and decision-making ability; takes full accountability with evidence of sound judgement in complex child protection scenarios."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Strong examples of sound decision-making under pressure; demonstrates accountability and maintains composure in difficult situations."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Basic examples of accountability and resilience; understands importance but examples lack complexity."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Limited examples of taking responsibility; struggles to explain decision-making process or handling pressure."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""Unable to provide examples of accountability or decision-making; no evidence of resilience in challenging situations."", ""percentage_range"": ""0-40%""}]",true
"Communicating with Impact, Building Relationships & Teamwork","Skill in engaging effectively with children, families, colleagues, and multi-disciplinary teams while building trust and collaborative partnerships.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Exceptional interpersonal skills; builds strong relationships across all stakeholder groups with outstanding multi-agency collaboration and family engagement."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Effective communicator who builds trust with families and works well in multi-disciplinary teams; demonstrates empathy and professionalism."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Adequate communication and teamwork examples; some relationship-building but may struggle with complex family dynamics."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Basic communication skills but limited evidence of building relationships with families or multi-disciplinary collaboration."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No evidence of effective communication or relationship building; unable to discuss teamwork or engaging with vulnerable populations."", ""percentage_range"": ""0-40%""}]",true
"Delivering Quality Services","Commitment to delivering high-quality, child-centred services that prioritize safety, wellbeing, and positive outcomes for children and families.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Outstanding dedication to quality; exceptional examples of delivering child-centred services with clear positive outcomes and continuous improvement."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Strong commitment to quality with clear examples of child-centred practice; demonstrates focus on safety, wellbeing, and measurable outcomes."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Basic understanding of quality service delivery; some child-centred examples but lacks evidence of impact measurement."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Limited understanding of quality standards; vague examples with minimal focus on child safety and wellbeing."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No understanding of quality service delivery or child-centred practice; unable to discuss safeguarding or outcomes."", ""percentage_range"": ""0-40%""}]",true
"Creating Services of the Future","Vision and initiative for contributing to service development, innovation, and improvement in child and family services aligned with national policy.","[{""grade"": ""Excellent"", ""order"": 1, ""description"": ""Visionary approach to service development; innovative ideas aligned with national policy and clear understanding of how to contribute to transformational change."", ""percentage_range"": ""70-100%""}, {""grade"": ""Very Good"", ""order"": 2, ""description"": ""Good understanding of TUSLA's direction with thoughtful ideas for service improvement; demonstrates initiative and forward thinking."", ""percentage_range"": ""60-70%""}, {""grade"": ""Good"", ""order"": 3, ""description"": ""Basic understanding of service development needs; some ideas for improvement but lacks strategic alignment."", ""percentage_range"": ""50-60%""}, {""grade"": ""Acceptable"", ""order"": 4, ""description"": ""Limited awareness of policy context; vague ideas about improvement with no practical suggestions."", ""percentage_range"": ""40-50%""}, {""grade"": ""Weak"", ""order"": 5, ""description"": ""No understanding of service development or TUSLA's strategic direction; unable to discuss innovation or improvement."", ""percentage_range"": ""0-40%""}]",true
