template_id,evaluation_criteria_id,type,text,sample_answer
2f57842d-1959-431f-8f66-187247ca9408,f18f2191-aaf6-4f8a-b9de-5c34e8fffad8,Behavioral,"Describe a situation where you had to manage multiple priorities with limited resources. How did you ensure all tasks were completed to a high standard?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,f18f2191-aaf6-4f8a-b9de-5c34e8fffad8,Behavioral,"Tell me about a time when you had to deliver results under tight deadlines. What planning methods did you use?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,f18f2191-aaf6-4f8a-b9de-5c34e8fffad8,Role-Specific,"How would you approach organising your workload as a Housing Support Officer to ensure tenants receive timely support?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c88b0d04-fa60-4cf5-ad4a-02f3dfca9da5,Behavioral,"Give an example of when you built a positive working relationship with a difficult stakeholder. What approach did you take?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c88b0d04-fa60-4cf5-ad4a-02f3dfca9da5,Behavioral,"Describe a time when you collaborated with external agencies to achieve a common goal. What was your role in the partnership?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c88b0d04-fa60-4cf5-ad4a-02f3dfca9da5,Role-Specific,"How would you build trust with tenants who may have had negative experiences with housing services in the past?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,e1acc6bd-4ce0-490b-9281-c8fa9860eeab,Behavioral,"Tell me about a time when you had to communicate sensitive information to someone in a difficult situation. How did you handle it?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,e1acc6bd-4ce0-490b-9281-c8fa9860eeab,Behavioral,"Describe a situation where you had to adapt your communication style for different audiences. What did you do differently?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,e1acc6bd-4ce0-490b-9281-c8fa9860eeab,Role-Specific,"How would you handle a conversation with a tenant who is upset about an anti-social behaviour issue affecting their home?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,14726c2b-208d-4b82-8311-b9d843f2c6c7,Behavioral,"Give an example of when you took initiative to improve a process or solve a problem without being asked.",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,14726c2b-208d-4b82-8311-b9d843f2c6c7,Behavioral,"Describe a time when you had to adapt quickly to a significant change in your work environment. How did you respond?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,14726c2b-208d-4b82-8311-b9d843f2c6c7,Role-Specific,"What steps do you take to ensure your professional knowledge and skills remain current and relevant?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c17e6cbb-33c6-4d19-bc57-6d6deca0147c,General,"What do you understand about the role of a Housing Support Officer within Dublin City Council's housing services?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c17e6cbb-33c6-4d19-bc57-6d6deca0147c,Behavioral,"Describe a time when you contributed to improving a service or process. What was the outcome?",No sample answer provided
2f57842d-1959-431f-8f66-187247ca9408,c17e6cbb-33c6-4d19-bc57-6d6deca0147c,Role-Specific,"What ideas do you have for improving tenant engagement and support within local authority housing?",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,13724a22-30f8-474b-a659-5b34112bbc4f,Behavioral,"Describe how you have applied theoretical knowledge from your professional training to a real-world practice situation.",No sample answer provided
1010a32c-24ac-4f17-b682-8c1f63e91ada,13724a22-30f8-474b-a659-5b34112bbc4f,Behavioral,"Tell me about a time when you identified a gap in your professional knowledge and took steps to address it.",No sample answer provided
